Smith John  525 12 10 1987 45.90 a 904-040-9999
Reed Kate   201 01 01 1987 45.34 B 850-590-9099
Wiliams Rex 600 01 03 1988 567.98 B 850-930-1112
Bobbie Max  701 12 13 1989 345.90 C 850-393-3434
Garret Bob  101 02 05 1989 22.20 A 850-593-9020
Terry Alen  201 04 05 1967 90.09 B 850-555-9045
Alice Mary  982 10 19 1987 98.09 C 850-909-8998
Carry David 001 01 02 1987 123.40 c 850-299-9090
Theo Chad   038 11 11 1987 23.90 C 850-849-1010
Mark May    003 12 12 1964 345.09 C 850-345-2901
Ben Big     040 01 10 1989 233.09 p 850-359-9034
Mark Means  101 09 18 1987 343.90 C 850-345-0001
Kelly Gale  003 08 10 1987 845.09 C 850-394-0101
 Boca Palm   190 11 05 1989 89.40 a 850-510-0234
 Smith John  555 12 10 1987 45.90 a 904-040-9999
Reed Kate   207 01 01 1987 45.34 B 850-590-9099
Wiliams Rex 608 01 03 1988 567.98 B 850-930-1112
Bobbie Max  744 12 13 1989 345.90 C 850-393-3434
Garret Bob  117 02 05 1989 22.20 A 850-593-9020
Terry Alen  201 04 05 1967 90.09 B 850-555-9045
Alice Mary  989 10 19 1987 98.09 C 850-909-8998
Carry David 901 01 02 1987 123.40 c 850-299-9090
Theo Chad   738 11 11 1987 23.90 C 850-849-1010
Mark May    503 12 12 1964 345.09 C 850-345-2901
Ben Big     540 01 10 1989 233.09 p 850-359-9034
Mark Means  131 09 18 1987 343.90 C 850-345-0001
Kelly Gale  123 08 10 1987 845.09 C 850-394-0101
 Boca Palm   198 11 05 1989 89.40 a 850-510-0234
 Smith John  527 12 10 1987 45.90 a 904-040-9999
Reed Kate   207 01 01 1987 45.34 B 850-590-9099
Wiliams Rex 670 01 03 1988 567.98 B 850-930-1112
Bobbie Max  771 12 13 1989 345.90 C 850-393-3434
Garret Bob  151 02 05 1989 22.20 A 850-593-9020
Terry Alen  241 04 05 1967 90.09 B 850-555-9045
Alice Mary  982 10 19 1987 98.09 C 850-909-8998
Carry David 011 01 02 1987 123.40 c 850-299-9090
Theo Chad   638 11 11 1987 23.90 C 850-849-1010
Mark May    203 12 12 1964 345.09 C 850-345-2901
Ben Big     140 01 10 1989 233.09 p 850-359-9034
Mark Means  111 09 18 1987 343.90 C 850-345-0001
Kelly Gale  013 08 10 1987 845.09 C 850-394-0101
 Boca Palm   194 11 05 1989 89.40 a 850-510-0234
 Smith John  524 12 10 1987 45.90 a 904-040-9999
Reed Kate   204 01 01 1987 45.34 B 850-590-9099
